object,band,variant,rise_time_days,decay_time_days,peak_time_days,chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,powerlaw_amplitude,powerlaw_index
ZTF25aacdjzo,i,Full,244.692,216.742,100.000,0.313,7,NaN,0.010709,0.003250,NaN,NaN
ZTF25aacedrs,r,Bazin,3.007,33.115,2.396,3.819,12,44.003,-0.109678,0.068927,NaN,NaN
ZTF25aacedrs,g,Bazin,33.115,11.746,17.686,1.417,5,32.947,0.068404,0.047433,NaN,NaN
ZTF25aacerkv,r,Full,665.142,45.405,34.953,20.940,37,242.348,0.030794,0.023223,NaN,NaN
ZTF25aacerkv,g,Full,665.142,95.862,36.165,6.311,33,242.348,0.021837,0.010636,NaN,NaN
ZTF25aacerkv,i,Full,617.049,27.044,29.980,0.078,3,244.954,0.042384,0.039417,NaN,NaN
ZTF25aaceybo,r,Bazin,33.115,4.897,-51.211,389.679,13,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaceybo,g,Bazin,1.343,25.680,-94.054,29.169,8,NaN,0.000000,-0.000000,NaN,NaN
ZTF25aacfbem,r,Bazin,4.387,33.115,2.100,1.199,14,12.563,-0.048829,0.040395,NaN,NaN
ZTF25aacfbem,g,Bazin,5.980,8.399,15.949,1.689,10,21.743,-0.020103,0.060024,NaN,NaN
ZTF25aacfbem,i,Bazin,13.320,33.115,-5.610,0.397,7,6.281,0.007791,0.025548,NaN,NaN
ZTF25aacgxjf,r,Bazin,5.282,33.115,5.480,0.711,15,47.881,-0.073560,0.037811,NaN,NaN
